county,population,sdi_score,fpl_100_score,sing_parent_fam_score,black_score,dropout_score,no_car_score,rent_occup_score,crowding_score,nonemp_score,unemp_score,highneeds_score,hisp_score,foreignb_score,lingisol_score,percnt_ltfpl100,percnt_singlparntfly,percnt_black,percnt_dropout,percnt_hhnocar,percnt_rentoccup,percnt_crowding,percnt_nonemp,percnt_unemp,percnt_highneeds,percnt_hispanic,percnt_frgnborn,percnt_lingisol
5105,10300,31,53,4,19,82,18,4,74,30,30,55,14,2,1,0.15966965,0.1141673,0.020776698,0.18742156,0.047309592,0.2009358,0.041070964,0.071428575,0.066804886,0.40281552,0.027378641,0.008349515,0
5107,20391,100,100,100,100,97,94,91,65,100,100,94,5,2,8,0.3414368,0.33509287,0.61487913,0.24587625,0.15267363,0.48740011,0.03232944,0.18912797,0.072874494,0.42852238,0.015742239,0.007699475,0.004425323
5109,11087,51,86,52,26,82,25,13,32,28,28,89,36,23,25,0.20185423,0.1816092,0.031388111,0.18506451,0.051894374,0.2433984,0.01836969,0.070036262,0.062586285,0.42112383,0.065482095,0.042031206,0.014006888
5111,24210,87,92,62,52,96,72,62,75,83,83,86,13,3,5,0.22813816,0.19623573,0.082280047,0.23098627,0.089058802,0.38391125,0.042967908,0.10466836,0.092321157,0.41714168,0.026022306,0.008963238,0.002692225
5113,20364,55,94,42,1,69,25,6,80,66,66,95,35,18,17,0.24109128,0.1690539,0.002062463,0.14881416,0.051952977,0.20970801,0.047907975,0.092446893,0.092471994,0.43346101,0.062708698,0.031673543,0.008848439
5115,62830,55,85,26,25,79,29,40,63,38,38,64,41,24,48,0.19953063,0.15265544,0.029269457,0.17313486,0.055111505,0.32413337,0.030735262,0.076046437,0.074925654,0.40692344,0.078290626,0.0441668,0.028924707
5117,8402,56,89,37,65,89,59,28,42,17,17,95,2,1,4,0.21387914,0.16488956,0.12318496,0.20734519,0.075535804,0.29430214,0.021432305,0.062179122,0.051250763,0.43061176,0.011068793,0.003094501,0.002352326
5119,390463,56,66,75,94,33,55,67,24,43,43,68,33,29,34,0.17632167,0.21352585,0.35441002,0.10328569,0.072510377,0.3978475,0.015184129,0.077736489,0.053103566,0.40841514,0.059109315,0.052117616,0.018600881
5121,17695,51,89,37,7,80,63,21,27,9,9,90,7,1,3,0.21107706,0.16427146,0.006894603,0.17512836,0.077709608,0.26898432,0.01595092,0.054659497,0.054822043,0.42350948,0.017914666,0.005820853,0.001226994
5123,27345,97,95,93,99,90,87,80,43,90,90,2,24,14,23,0.24809387,0.23993912,0.51695007,0.21491276,0.11145281,0.44358429,0.021845175,0.11661661,0.0687408,0.36145547,0.043883707,0.024611447,0.012407211
